ID	ACC Name	Species	Germoplasm type	Date	Country	Country code	Research Center
1	ac-01	Genus species	Tree	01. Sep 98	SPAIN	ESP	IHSM
2	ac-02	Genus species	Tree	01. Sep 98	SPAIN	ESP	IHSM
3	ac-03	Genus species	Seed	01. Sep 98	SPAIN	ESP	IHSM
4	ac-04	Genus species	Tree	01. Sep 98	SPAIN	ESP	IHSM
5	ac-05	Genus species	Tree	01. Sep 98	SPAIN	ESP	IHSM
6	ac-06	Genus species	Tree	01. Sep 98	SPAIN	ESP	IHSM
7	ac-07	Genus species	Seed	02. Sep 98	PERU	PER	IHSM
8	ac-08	Genus species	Seed	02. Sep 98	PERU	PER	IHSM
9	ac-09	Genus species	Tree	02. Sep 98	PERU	PER	IHSM
10	ac-10	Genus species	Tree	03. Sep 98	CHILE	CHL	IHSM
11	ac-11	Genus species	Seed	03. Sep 98	CHILE	CHL	IHSM
12	ac-12	Genus species	Tree	03. Sep 98	CHILE	CHL	IHSM
13	ac-13	Genus species	Tree	04. Sep 98	PERU	PER	IHSM
14	ac-14	Genus species	Tree	04. Sep 98	PERU	PER	IHSM
15	ac-15	Genus species	Tree	04. Sep 98	EE.UU.	USA	IHSM
16	ac-16	Genus species	Seed	04. Sep 98	EE.UU.	USA	IHSM
17	ac-17	Genus species	Tree	01. Jun 97	EE.UU.	USA	IHSM
18	ac-18	Genus species	Tree	01. Jun 97	MEXICO	MEX	IHSM
19	ac-19	Genus species	Tree	20. May 98	EE.UU.	USA	IHSM
20	ac-20	Genus species	Tree	20. May 98	COSTA RICA	CRI	IHSM
21	ac-21	Genus species	Tree	07. May 98	EE.UU.	USA	IHSM
22	ac-22	Genus species	Tree	07. May 98	EE.UU.	USA	IHSM
23	ac-23	Genus species	Tree	07. May 98	EE.UU.	USA	IHSM
24	ac-24	Genus species	Tree	07. May 98	EE.UU.	USA	IHSM
25	ac-25	Genus species	Seed	07. May 98	BOLIVIA	BOL	IHSM
26	ac-26	Genus species	Tree	07. May 98	BOLIVIA	BOL	IHSM
27	ac-27	Genus species	Tree	07. May 98	BOLIVIA	BOL	IHSM
28	ac-28	Genus species	Tree	03. May 98	PERU	PER	IHSM
29	ac-29	Genus species	Tree	03. May 98	PERU	PER	IHSM
30	ac-30	Genus species	Tree	03. May 98	PERU	PER	IHSM
31	ac-31	Genus species	Tree	11. Apr 98	EE UU	USA	IHSM
32	ac-32	Genus species	Seed	11. Apr 98	CHILE	CHL	IHSM
