ID	ACC Name	Species	Germoplasm type	Date	Country	Country code	Research Center
1	Example1	Genus species	Tree	01. Sep 98	SPAIN	ESP	IHSM
2	Example2	Genus species	Tree	01. Sep 98	SPAIN	ESP	IHSM
3	Example3	Genus species	Seed	01. Sep 98	SPAIN	ESP	IHSM
4	Example4	Genus species	Tree	01. Sep 98	SPAIN	ESP	IHSM
5	Example5	Genus species	Tree	01. Sep 98	SPAIN	ESP	IHSM
6	Example6	Genus species	Tree	01. Sep 98	SPAIN	ESP	IHSM
7	Example7	Genus species	Seed	02. Sep 98	PERU	PER	IHSM
8	Example8	Genus species	Seed	02. Sep 98	PERU	PER	IHSM
9	Example9	Genus species	Tree	02. Sep 98	PERU	PER	IHSM
10	Example10	Genus species	Tree	03. Sep 98	CHILE	CHL	IHSM
11	Example11	Genus species	Seed	03. Sep 98	CHILE	CHL	IHSM
12	Example12	Genus species	Tree	03. Sep 98	CHILE	CHL	IHSM
13	Example13	Genus species	Tree	04. Sep 98	PERU	PER	IHSM
14	Example14	Genus species	Tree	04. Sep 98	PERU	PER	IHSM
15	Example15	Genus species	Tree	04. Sep 98	EE.UU.	USA	IHSM
16	Example16	Genus species	Seed	04. Sep 98	EE.UU.	USA	IHSM
17	Example17	Genus species	Tree	01. Jun 97	EE.UU.	USA	IHSM
18	Example18	Genus species	Tree	01. Jun 97	MEXICO	MEX	IHSM
19	Example19	Genus species	Tree	20. May 96	EE.UU.	USA	IHSM
20	Example20	Genus species	Tree	20. May 96	COSTA RICA	CRI	IHSM
21	Example21	Genus species	Tree	07. May 12	EE.UU.	USA	IHSM
22	Example22	Genus species	Tree	07. May 12	EE.UU.	USA	IHSM
23	Example23	Genus species	Tree	07. May 12	EE.UU.	USA	IHSM
24	Example24	Genus species	Tree	07. May 12	EE.UU.	USA	IHSM
25	Example25	Genus species	Seed	07. May 12	BOLIVIA	BOL	IHSM
26	Example26	Genus species	Tree	07. May 12	BOLIVIA	BOL	IHSM
27	Example27	Genus species	Tree	07. May 12	BOLIVIA	BOL	IHSM
28	Example28	Genus species	Tree	03. May 12	PERU	PER	IHSM
29	Example29	Genus species	Tree	03. May 12	PERU	PER	IHSM
30	Example30	Genus species	Tree	03. May 12	PERU	PER	IHSM
31	Example31	Genus species	Tree	11. Apr 12	EE UU	USA	IHSM
32	Example32	Genus species	Seed	11. Apr 12	CHILE	CHL	IHSM
33	Example33	Genus species	Tree	11. Apr 12	EE UU	USA	IHSM
34	Example34	Genus species	Tree	11. Apr 12	CHILE	CHL	IHSM
35	Example35	Genus species	Tree	11. Apr 12	CHILE	CHL	IHSM
36	Example36	Genus species	Tree	11. Apr 12	CHILE	CHL	IHSM
37	Example37	Genus species	Tree	11. Apr 12	CHILE	CHL	IHSM
38	Example38	Genus species	Tree	11. Apr 12	SPAIN	ESP	IHSM
39	Example39	Genus species	Tree	11. Apr 12	CHILE	CHL	IHSM
40	Example40	Genus species	Tree	01. May 12	PERU	PER	IHSM
41	Example41	Genus species	Tree	01. Dec 12	PERU	PER	IHSM
42	Example42	Genus species	Seed	01. Dec 12	PERU	PER	IHSM
43	Example43	Genus species	Tree	01. Dec 12	PERU	PER	IHSM
44	Example44	Genus species	Tree	01. Dec 12	PERU	PER	IHSM
45	Example45	Genus species	Tree	01. Dec 12	PERU	PER	IHSM
46	Example46	Genus species	Tree	01. Dec 12	PERU	PER	IHSM
47	Example47	Genus species	Tree	01. Dec 12	PERU	PER	IHSM
48	Example48	Genus species	Tree	01. Dec 12	PERU	PER	IHSM
49	Example49	Genus species	Tree	01. Dec 12	PERU	PER	IHSM
50	Example50	Genus species	Tree	01. May 99	PERU	PER	IHSM
51	Example51	Genus species	Tree	01. May 99	PERU	PER	IHSM
52	Example52	Genus species	Seed	01. May 99	PERU	PER	IHSM
53	Example53	Genus species	Tree	01. May 99	PERU	PER	IHSM
54	Example54	Genus species	Tree	01. May 99	PERU	PER	IHSM
55	Example55	Genus species	Tree	01. May 99	PERU	PER	IHSM
56	Example56	Genus species	Tree	01. May 99	PERU	PER	IHSM
57	Example57	Genus species	Tree	01. May 99	PERU	PER	IHSM
58	Example58	Genus species	Tree	01. May 99	PERU	PER	IHSM
59	Example59	Genus species	Tree	01. May 99	PERU	PER	IHSM
60	Example60	Genus species	Tree	01. May 99	PERU	PER	IHSM
61	Example61	Genus species	Tree	01. May 99	PERU	PER	IHSM
62	Example62	Genus species	Tree	01. May 99	PERU	PER	IHSM
63	Example63	Genus species	Tree	01. May 99	PERU	PER	IHSM
64	Example64	Genus species	Tree	01. May 99	PERU	PER	IHSM
65	Example65	Genus species	Tree	01. May 99	PERU	PER	IHSM
66	Example66	Genus species	Tree	01. May 99	PERU	PER	IHSM
67	Example67	Genus species	Tree	01. May 99	PERU	PER	IHSM
68	Example68	Genus species	Tree	01. May 99	PERU	PER	IHSM
69	Example69	Genus species	Tree	01. May 99	PERU	PER	IHSM
70	Example70	Genus species	Tree	01. May 99	PERU	PER	IHSM
71	Example71	Genus species	Tree	01. May 99	PERU	PER	IHSM
72	Example72	Genus species	Tree	01. May 99	PERU	PER	IHSM
73	Example73	Genus species	Tree	01. May 99	PERU	PER	IHSM
74	Example74	Genus species	Tree	01. May 99	PERU	PER	IHSM
75	Example75	Genus species	Tree	01. May 99	PERU	PER	IHSM
76	Example76	Genus species	Tree	01. May 99	PERU	PER	IHSM
77	Example77	Genus species	Tree	01. May 99	PERU	PER	IHSM
78	Example78	Genus species	Tree	01. May 99	PERU	PER	IHSM
79	Example79	Genus species	Tree	01. May 99	PERU	PER	IHSM
80	Example80	Genus species	Tree	01. May 99	PERU	PER	IHSM
81	Example81	Genus species	Tree	01. May 99	PERU	PER	IHSM
82	Example82	Genus species	Tree	01. May 99	PERU	PER	IHSM
83	Example83	Genus species	Tree	01. May 99	PERU	PER	IHSM
84	Example84	Genus species	Tree	01. May 99	PERU	PER	IHSM
85	Example85	Genus species	Tree	01. May 99	PERU	PER	IHSM
86	Example86	Genus species	Tree	01. May 99	PERU	PER	IHSM
87	Example87	Genus species	Tree	01. May 99	PERU	PER	IHSM
88	Example88	Genus species	Tree	01. May 99	PERU	PER	IHSM
89	Example89	Genus species	Tree	01. May 99	PERU	PER	IHSM
90	Example90	Genus species	Tree	01. May 99	PERU	PER	IHSM
91	Example91	Genus species	Tree	01. May 99	PERU	PER	IHSM
92	Example92	Genus species	Tree	01. May 99	PERU	PER	IHSM
93	Example93	Genus species	Tree	01. May 99	PERU	PER	IHSM
94	Example94	Genus species	Tree	01. May 99	PERU	PER	IHSM
95	Example95	Genus species	Tree	01. May 99	PERU	PER	IHSM
96	Example96	Genus species	Tree	01. May 99	PERU	PER	IHSM
97	Example97	Genus species	Tree	01. May 99	PERU	PER	IHSM
98	Example98	Genus species	Tree	01. May 99	PERU	PER	IHSM
99	Example99	Genus species	Tree	01. May 99	PERU	PER	IHSM
100	Example100	Genus species	Tree	01. May 99	PERU	PER	IHSM
