Gene ID	Leaf	Leaf	Leaf	Fruit	Fruit	Fruit	Root	Root	Root	Peel	Peel	Peel	Seed	Seed	Seed	Germinating Seed	Germinating Seed	Germinating Seed	Darkness	Darkness	Darkness	Drought	Drought	Drought	Heat	Heat	Heat	Cold	Cold	Cold
gene1.1	156.22	119.92	105.89	54.95	39.59	24.56	40.43	8.32	44.93	151.61	189.39	193.04	38.57	163	116.69	1.91	1.02	2.35	126.72	82.82	69.05	103.02	66.99	66.99	23.56	23.25	11.42	0.25	0.2	0.55
gene2.1	49.33	6.45	26.7	11.97	0.85	10.61	21.25	1.54	18.9	34.8	5.12	9.15	0.43	2.84	3.79	0	0	2.04	2.92	4.29	0.97	1.25	1.18	1.08	3.03	3.62	1.39	1.23	0	1.01
gene3.1	10.84	6.06	9.98	13.59	8.37	11.23	10.11	9.68	10.89	18.21	7.34	6.71	18.21	6.32	4.28	11.37	8.27	7.85	2.19	0.98	1.08	3.01	1.48	1.3	5.04	1.87	2.23	6.01	3.25	3.03
gene4.1	46.62	55.3	31.76	7.32	34.6	30.23	14.03	15.1	21.68	34.29	27.49	56.93	30.89	60.93	50.98	18.01	34.27	34.87	28.16	18.44	18.72	26.73	15.89	18.94	86.19	67.05	67.83	19.49	5.68	12.02
gene5.1	0.14	0.26	0.7	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene6.1	0.57	0.26	0.28	0.46	0.66	0.86	1.34	1.09	1.19	0.96	0.33	0	0.09	0	0	0	0	0	0.1	0.2	0.11	0	0	0	0	0	0	0	0.1	0
gene7.1	25.52	6.06	24.88	8.36	11.66	16.04	36.61	12.03	46.12	34.05	5.45	4.58	0.52	0.09	0.49	0	0.46	0	2.71	2.24	0.97	0	0.2	0.11	0.28	0	0.14	0	0	0
gene8.1	0.86	3.09	0.56	1.16	3.67	5.55	4.33	1.63	1.09	1.17	4.67	1.53	5	0.09	0.49	0.1	0.09	0.51	0.42	0.29	0.65	0.5	0.2	0	0.28	0	0.42	0.25	0.3	0
gene9.1	24.81	19.08	14.05	19.17	32.06	34.8	35.37	24.05	23.16	16.59	20.14	18.5	25.02	17.96	14.24	1.71	1.49	2.04	4.59	3.8	3.9	1.76	2.07	1.95	4.95	3.39	2.92	4.41	4.06	1.47
gene10.1	2.42	17.15	19.68	22.42	19.65	17.03	11.55	0.18	19	11.37	15.02	9.35	2.07	2.29	2.31	7.85	7.62	2.55	11.37	9.37	7.58	5.9	4.83	4.33	4.31	2.69	1.67	3.8	1.83	2.11
gene11.1	3.71	6.06	8.29	3.49	1.22	5.92	4.74	8.41	6.73	10.07	6.79	1.32	2.42	1.92	1.96	2.72	3.44	2.96	0.94	0.59	0.76	1.25	0.2	1.52	1.1	1.05	0.42	1.72	0.61	0
gene12.1	6.84	14.44	10.26	9.53	5.45	17.77	16.09	5.06	6.43	8.04	27.27	7.12	0	4.12	2.66	4.03	6.78	4.18	4.69	5.95	9.85	6.65	5.82	11.8	13.75	12.38	19.08	9.81	10.45	8.63
gene13.1	73.86	58.78	44.13	79.7	146.87	107.24	68.69	85.1	80.66	46.93	126.09	60.7	100.1	84.11	76.16	87.95	107.35	84.84	11.89	11.02	9.2	2.76	1.78	2.49	45.84	39.6	26.74	0.12	0.51	0
gene14.1	3.14	5.41	2.67	13.24	10.63	9.13	1.13	0	7.23	6.25	2.34	13.01	44.18	27.3	26.93	0	1.58	0.1	8.03	9.85	13.64	0.5	1.58	0.43	5.23	5.84	1.95	0.12	0.3	0
gene15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0.09	0.41	0	0	0	0	0	0	0.18	0.23	1.11	0	0	0
gene16.1	0.43	0	0	0	0	0.37	0.83	0	0	0.03	0.33	0.1	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0.09	0	0	0	0	0
gene17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene18.1	0	0	0.7	0	0	0	0	0	0	0.21	0.11	0.2	0.09	0.09	0.42	0	0.37	0.2	0	0	0	0	0	0	0.09	0	0	0	0	0
gene19.1	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
gene20.1	1.14	0.26	0.7	0.58	0	0.37	0	0	0.3	0.17	0	0.31	0	0.09	0	0.6	0.93	0.92	0.1	0	0	0	0	0	0	0	0	0.25	0	0
gene21.1	0	0	0.56	0.12	0	0	0	0	0	0.31	0.78	0.1	0	0	0	0.1	0.09	0.1	0	0	0	0	0	0	0.09	0	0	0	0	0
gene22.1	68.72	48.34	62.4	38.57	38.36	16.41	21.04	27.49	34.34	44.87	38.17	42.8	38.83	27.76	28.19	65.61	48.94	31.61	13.25	9.76	8.55	9.41	5.92	5.3	12.93	15.42	6.13	3.68	2.03	4.77
gene23.1	25.66	11.09	8.71	0.7	5.92	3.58	9.8	0.09	1.39	22.64	12.02	13.62	0.95	1.65	3.44	10.06	4.18	2.96	0	0.2	0.32	0.13	0.49	0	11.92	11.92	10.72	14.83	0.1	0.37
gene24.1	0.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0
gene25.1	15.83	17.4	10.12	29.39	33.85	31.71	33.62	25.95	31.77	15.53	40.17	18.5	19.93	17.13	18.44	17.11	21.64	16.01	15.44	16.49	14.07	34.63	28.51	26.41	19.99	14.02	21.17	29.55	8.42	12.76
gene26.1	36.22	31.84	20.38	88.88	48.61	73.18	73.43	48.83	74.53	54.66	27.49	28.87	31.5	49.94	32.82	52.13	46.06	28.14	52.56	47.12	50.65	81.06	59.4	75.86	54.28	28.5	54.59	89.74	83.88	66.63
gene27.1	0.57	0	0.56	3.02	2.54	10.86	0.31	209.08	3.76	0.86	0	0.41	12.68	4.76	3.79	0.7	1.11	1.12	2.82	3.51	5.95	10.79	6.31	6.49	11.19	6.43	5.29	16.43	21.4	16.79
gene28.1	0	0	0	1.05	2.91	3.95	0	2.98	0.3	1.61	0	0.2	1.04	5.59	6.1	0	0.19	0	1.77	0.1	0.11	3.01	1.09	1.73	0.55	1.17	0	4.29	2.03	1.56
gene29.1	0.71	0.13	0.42	17.08	4.23	9.38	0.1	0	0	3.02	1	0.31	5.09	8.25	9.89	2.21	0.74	1.22	0	0.39	0	1.63	0.49	0.76	0.37	0.35	0.14	8.83	1.32	6.42
gene30.1	0	0.39	0.28	0.23	0.09	0.74	0	0	0	0.38	0	0	0	0.18	0.63	0	0	0.1	0	0	0	0	0	0.32	0	0	0	0	0.41	0
gene31.1	6.42	9.67	9.42	1.05	7.05	11.85	7.53	40.51	11.78	3.78	8.68	18.91	11.48	22.63	39.69	9.76	32.32	27.63	5.42	4.49	13.64	3.01	9.08	12.99	13.39	17.64	26.46	0.12	0	3.21
gene32.1	0.57	0.39	0.14	0	0.47	0.74	0.21	1.27	0.3	0.21	0.89	0.2	0.78	0.37	0.49	0.1	1.39	1.63	0	0	0.11	0	0.1	0.11	0.18	0.12	0.7	0	0.2	0.09
gene33.1	0	0	0	1.16	0.47	0.12	0	0.09	0.3	0	1.56	0	0	0.09	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0.37	0	0
gene34.1	78.56	93.46	103.3	135.46	106.91	121.92	91.99	61.13	132.43	81.63	95.26	109.7	69.55	101.52	91.09	178.12	100.2	129.5	159.15	132.38	134.21	122.59	79.53	107.79	133.68	146.49	145.26	251.21	128.61	148.77
gene35.1	9.13	9.93	7.45	8.71	2.54	17.28	8.15	0.09	4.35	8.49	11.91	9.15	11.13	8.43	10.1	9.36	9.38	5.61	3.65	2.34	2.71	3.26	3.65	3.68	3.39	4.79	10.31	2.45	3.45	3.49
gene36.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene37.1	0	0	0	0	0	0	0	0.36	0.3	0	0	0	0.17	0.09	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0.18
gene38.1	36.07	17.53	44.13	15.92	8.56	11.23	41.56	28.94	38.01	25.97	7.79	9.66	6.73	5.04	7.92	43.78	17.64	29.98	7.2	6.73	6.93	3.39	4.34	5.19	14.49	14.95	7.8	16.31	20.18	10.74
gene39.1	15.97	20.11	8.71	11.15	24.73	13.94	11.34	89.26	10	5.91	33.94	20.33	98.03	22.63	16.97	14.39	17.09	6.42	39.84	48.68	99.25	54.46	50.22	56.17	38.51	27.34	39.69	65.71	32.46	74.06
gene40.1	0	0	0	0.12	0.09	0.12	0.62	0	0	0.96	0.45	0	0	0	0	0.5	0.09	0.31	0	0.1	0	0.25	0.1	0	2.11	1.4	1.11	0	0	0
gene41.1	7.7	2.96	7.45	0.81	5.08	3.95	1.75	0	0.89	10.38	16.25	4.88	0.26	0.09	0.14	4.63	11.33	4.59	0.73	0.78	1.19	0	0	0	75.92	54.9	65.46	0.37	0.2	0.64
gene42.1	0	0	0	0	0	0	0	0	0.4	1.58	0	0	0.26	0.55	0.35	0.6	1.02	2.04	0	0	0.11	0.38	0	0.32	0	0	0	0.12	0	0
gene43.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04	0	0.22	0.13	0.1	0.76	2.93	3.62	0.28	0	0	0
gene44.1	18.11	5.67	7.59	15.22	3.67	3.7	3.51	1.81	9.9	12.13	7.9	14.03	9.84	14.75	17.46	8.96	7.62	7.34	4.59	4.19	4	3.01	2.57	4.55	9.17	6.54	7.38	2.21	2.23	1.84
gene45.1	71.72	171.84	49.89	33.46	131.55	42.94	92.2	258.54	73.34	60.77	359.23	246.75	199.07	63.22	111.92	17.31	37.43	16.21	126.3	155.31	227.51	165.26	114.95	189.6	77.29	166	67.13	133.39	181.76	117.66
gene46.1	5.42	1.93	12.23	8.6	2.35	3.83	9.49	3.8	8.51	30.95	9.01	8.64	1.81	2.02	5.89	10.37	3.62	4.49	3.86	2.34	3.03	2.51	3.35	1.73	1.1	0.47	0.14	6.87	2.74	2.75
gene47.1	15.4	2.19	15.88	32.88	4.7	9.01	23.1	1.72	11.88	16.32	3.45	0.51	1.55	0.46	0.98	18.52	5.76	10.81	2.5	2.83	3.25	1.88	0.89	1.62	0.83	1.05	0.97	9.32	5.68	4.41
gene48.1	16.54	0.9	6.18	15.34	6.58	12.46	12.99	5.79	33.65	6.6	1.11	1.63	0.09	0.09	2.88	14.49	3.53	7.65	0	0.2	0	0	0	0	0	0	0	1.35	4.46	1.28
gene49.1	6.13	2.45	6.04	7.09	6.3	5.55	10.31	4.97	3.37	3.78	8.12	7.63	1.81	4.03	6.8	4.23	4.27	4.79	3.44	2.44	1.41	3.51	4.05	4.22	5.5	5.37	2.79	2.7	4.87	6.06
gene50.1	21.53	15.6	18.27	10.34	10.06	17.15	14.34	4.97	22.37	18.59	15.47	14.54	39	10.17	8.98	10.77	12.63	13.56	5.94	7.71	6.39	6.9	7.1	6.93	15.68	7.71	12.67	7.48	3.35	3.58
gene51.1	1.28	0	0	0	0	0	0	0.09	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene52.1	0	0	0	0	0	0	0	0	0	0	0	0.1	0.6	0.09	0	0	0	0.2	0	0	0	0.13	0.1	0	0	0	0	0	0	0
gene53.1	4.99	6.19	6.46	5.11	2.35	3.7	9.9	4.25	6.53	7.94	2.45	2.95	0.69	0.64	1.68	2.82	2.51	3.57	2.82	1.46	3.57	5.52	1.97	1.73	1.01	0.82	0.84	3.19	0.3	0.37
gene54.1	43.63	29.52	65.77	14.52	8.74	16.04	18.56	13.11	12.17	33.12	38.39	12.3	0.43	6.96	6.73	9.86	13.74	23.45	12.83	10.93	17.32	1.51	3.65	1.95	13.66	5.84	7.94	5.76	3.45	2.29
gene55.1	2.99	6.06	5.2	5.23	5.17	6.66	6.08	13.75	6.73	5.05	4.23	2.95	6.64	1.01	0.98	5.13	2.51	4.38	4.9	4.49	8.98	9.41	4.14	5.84	4.4	1.99	3.06	6.25	5.07	3.95
