Gene ID	sample1	sample1	sample1	sample2	sample2	sample2	sample3	sample3	sample3	sample4	sample4	sample4
new_gene1.1	1.11	1.48	1.56	5.17	6.85	5.75	18.5	20.55	21.28	102.72	101.1	101.03
new_gene2.1	271.76	254.72	262.99	57.32	58.49	57.32	2.32	2.42	2.02	525.55	560.75	524.8
new_gene3.1	109.38	126.12	117.03	36.56	41.09	38.45	0.88	0.97	0.59	5.99	5.4	5.95
new_gene4.1	2.28	2.1	2.93	119.21	111.27	126.64	16.04	12.58	17.79	505.55	504.69	501.53
new_gene5.1	1.91	1.39	1.37	17.61	15.69	12.05	56.91	59.96	54.51	135.06	135.64	137
new_gene6.1	74.38	247.32	231.82	62.47	105.34	23.73	46.18	149.33	64.06	73.07	238.76	171.74
new_gene7.1	165.48	115.26	240.63	219.25	78.12	88.22	62.49	245.16	79.34	157.88	245.88	243.56
new_gene8.1	111.24	225.42	174.8	56.34	207.77	64.41	12.19	76.11	159.94	131	247.18	34.99
new_gene9.1	62.66	164.92	133.69	96.39	27.51	90.18	194.41	130.59	65.01	219.1	145.74	43.09
new_gene10.1	68.34	222.33	215.6	211.64	162.9	47.42	229.27	68.14	112.02	4.78	145.37	138.21
new_gene11.1	181.43	138.03	237.82	11.47	231.13	85.96	224.33	219.86	80.98	176.4	65.52	215.86
new_gene12.1	85.82	195.26	245.01	111.39	215.14	7.53	235.21	62.35	184.86	189.44	218.98	198.35
new_gene13.1	240.72	76.31	229.27	80.85	162.41	139.83	25.35	238.34	18.49	242.17	170.64	52.47
new_gene14.1	242.38	155.47	215.42	13.77	39.77	139.07	89.11	13.53	41.22	142.85	52.68	82.66
new_gene15.1	58.96	182.43	156.99	161.61	34.03	181.52	185.09	155.64	74.29	59.71	204.13	154.11
new_gene16.1	173.35	175.27	148.28	94.1	213.69	77.17	10.53	239.02	183.08	217.13	90.53	151.29
new_gene17.1	7.76	141.05	134.9	242.73	128.31	226.71	129.03	69.52	76.15	63.7	78.37	136.69
new_gene18.1	181.86	136.31	17.77	248.03	243.14	163.47	187.44	234.99	52.43	71.95	125.08	159.61
new_gene19.1	13.95	78.59	26.58	187.51	22.23	46.31	155.03	249.62	225.41	221.73	127.98	21.51
new_gene20.1	36.21	56.23	51.28	19.23	94.23	203.47	25.28	112.39	134.28	63.3	121.34	144.83
