Gene ID	sample1	sample1	sample1	sample2	sample2	sample2	sample3	sample3	sample3	sample4	sample4	sample4
gene1.1	1.11	1.48	1.56	5.17	6.85	5.75	18.5	20.55	21.28	102.72	101.1	101.03
gene2.1	271.76	254.72	262.99	57.32	58.49	57.32	2.32	2.42	2.02	525.55	560.75	524.8
gene3.1	109.38	126.12	117.03	36.56	41.09	38.45	0.88	0.97	0.59	5.99	5.4	5.95
gene4.1	2.28	2.1	2.93	119.21	111.27	126.64	16.04	12.58	17.79	505.55	504.69	501.53
gene5.1	1.91	1.39	1.37	17.61	15.69	12.05	56.91	59.96	54.51	135.06	135.64	137
gene6.1	74.38	247.32	231.82	62.47	105.34	23.73	46.18	149.33	64.06	73.07	238.76	171.74
gene7.1	165.48	115.26	240.63	219.25	78.12	88.22	62.49	245.16	79.34	157.88	245.88	243.56
gene8.1	111.24	225.42	174.8	56.34	207.77	64.41	12.19	76.11	159.94	131	247.18	34.99
gene9.1	62.66	164.92	133.69	96.39	27.51	90.18	194.41	130.59	65.01	219.1	145.74	43.09
gene10.1	68.34	222.33	215.6	211.64	162.9	47.42	229.27	68.14	112.02	4.78	145.37	138.21
gene11.1	181.43	138.03	237.82	11.47	231.13	85.96	224.33	219.86	80.98	176.4	65.52	215.86
gene12.1	85.82	195.26	245.01	111.39	215.14	7.53	235.21	62.35	184.86	189.44	218.98	198.35
gene13.1	240.72	76.31	229.27	80.85	162.41	139.83	25.35	238.34	18.49	242.17	170.64	52.47
gene14.1	242.38	155.47	215.42	13.77	39.77	139.07	89.11	13.53	41.22	142.85	52.68	82.66
gene15.1	58.96	182.43	156.99	161.61	34.03	181.52	185.09	155.64	74.29	59.71	204.13	154.11
gene16.1	173.35	175.27	148.28	94.1	213.69	77.17	10.53	239.02	183.08	217.13	90.53	151.29
gene17.1	7.76	141.05	134.9	242.73	128.31	226.71	129.03	69.52	76.15	63.7	78.37	136.69
gene18.1	181.86	136.31	17.77	248.03	243.14	163.47	187.44	234.99	52.43	71.95	125.08	159.61
gene19.1	13.95	78.59	26.58	187.51	22.23	46.31	155.03	249.62	225.41	221.73	127.98	21.51
gene20.1	36.21	56.23	51.28	19.23	94.23	203.47	25.28	112.39	134.28	63.3	121.34	144.83
gene21.1	101.77	232.7	51.09	198.67	46.97	157.54	215.56	68.84	145.04	43.75	213.23	204.78
gene22.1	113.87	176.05	233.57	27.3	168.09	205.9	69.12	156.21	2.77	162.27	52.83	171.2
gene23.1	32.85	23.75	107.02	121.66	88.75	213.68	191.07	155.65	244	2.46	23.66	218.15
gene24.1	36.83	127.97	134.72	14.02	99.1	124.11	91.77	53.09	57.2	38.11	44.08	153.96
gene25.1	47.04	220.9	81.69	183.41	246.25	67.11	101.54	87.47	69.03	184.34	155.96	13.21
gene26.1	181.37	72.18	204.75	231.29	86.25	53.87	240.21	172.23	79.19	16.68	212.18	45.12
gene27.1	141.33	139.84	179.2	231.43	5.11	199.19	124.78	143.52	153.5	92.98	214.9	159.26
gene28.1	206.78	57.29	66.36	198.77	5.74	211.89	93.05	171.59	144.42	121.72	67.56	247.62
gene29.1	95.68	25.37	96.12	142	84.14	235.36	208.7	163.37	8.17	97.21	90.83	131.02
gene30.1	7.3	205.5	100.68	112.56	118.5	47.76	85.25	19.27	112.15	242.43	29.9	238.03
gene31.1	202.65	111.82	246.18	29.92	51.56	15.32	51.28	227.72	191.64	157.91	26.75	246.72
gene32.1	205.46	151.62	148.29	44.65	187.91	161.63	28.58	132.18	59.87	241.83	143.48	234.45
gene33.1	92.74	243.57	115.79	20.42	170.61	152.17	182.81	112.22	158.08	208.08	82.07	22.8
gene34.1	133.9	201.62	247.07	131.56	164.93	6.42	138.85	169.89	208.72	159.39	101.48	99.28
gene35.1	195.81	40	158.57	68.83	218.52	166.59	46.34	38.78	155.05	183.46	119.47	0.42
gene36.1	62.25	190.95	161.42	210.54	241.04	197.71	97.95	105.34	164.51	92.93	119.81	207.73
gene37.1	109.25	204.45	18.88	168.92	1.53	117.21	193.71	229.93	211.55	89.57	51.44	156.79
gene38.1	189.02	184.48	206.22	107.53	129.9	221.35	229.34	3.48	118.25	126.06	58.04	50
