Date of analysis	Pick-up date	ACC Name	Length	Diameter	Ratio length/diameter	Shape stalk end	Neck	Depression stalk end
25FEB2019	25FEB2019	ACC9	10.216	6.402	1.595751328	pointed	present	absent
25FEB2019	25FEB2019	ACC9	10.247	7.768	1.319129763	pointed	present	absent
25FEB2019	25FEB2019	ACC9	9.565	6.268	1.526005105	pointed	present	absent
25FEB2019	25FEB2019	ACC9	9.426	6.523	1.445040625	pointed	present	absent
25FEB2019	25FEB2019	ACC9	9.671	6.905	1.40057929	pointed	present	absent
18DEC2017	18DEC2017	ACC4	9.323	6.699	1.391700254	broadly_rounded	absent	absent
18DEC2017	18DEC2017	ACC4	9.327	6.811	1.369402437	broadly_rounded	absent	absent
18DEC2017	18DEC2017	ACC4	8.732	6.438	1.356321839	broadly_rounded	absent	absent
18DEC2017	18DEC2017	ACC4	8.431	6.211	1.357430365	broadly_rounded	absent	absent
18DEC2017	18DEC2017	ACC4	9.82	6.313	1.555520355	broadly_rounded	absent	absent
20FEB2019	21FEB2019	ACC10	11.139	6.798	1.638570168	pointed	present	absent
20FEB2019	21FEB2019	ACC10	13.375	7.565	1.768010575	pointed	present	absent
20FEB2019	21FEB2019	ACC10	12.399	6.669	1.85919928	pointed	present	absent
20FEB2019	21FEB2019	ACC10	12.339	7.135	1.729362299	pointed	present	absent
20FEB2019	21FEB2019	ACC10	12.113	6.131	1.975697276	pointed	present	absent
17NOV2019	17NOV2019	ACC2	10.467	7.037	1.487423618	pointed	absent	absent
17NOV2019	17NOV2019	ACC2	10.934	6.35	1.721889764	pointed	absent	absent
17NOV2019	17NOV2019	ACC2	10.213	5.953	1.715605577	pointed	absent	absent
17NOV2019	17NOV2019	ACC2	9.945	6.604	1.505905512	pointed	absent	absent
17NOV2019	17NOV2019	ACC2	10.907	6.426	1.697323374	pointed	absent	absent
19MAR2019	19MAR2019	ACC8	10.954	6.355	1.72368214	pointed	present	absent
19MAR2019	19MAR2019	ACC8	10.6	6.832	1.551522248	pointed	present	absent
19MAR2019	19MAR2019	ACC8	10.133	6.086	1.664968781	pointed	present	absent
19MAR2019	19MAR2019	ACC8	10.445	6.346	1.645918689	pointed	present	absent
19MAR2019	19MAR2019	ACC8	10.752	6.96	1.544827586	pointed	present	absent
19JAN2017	19JAN2017	ACC6	9.765	6.496	1.503232759	pointed	absent	absent
19JAN2017	19JAN2017	ACC6	9.909	6.504	1.523523985	pointed	absent	absent
19JAN2017	19JAN2017	ACC6	9.765	6.496	1.503232759	pointed	absent	absent
19JAN2017	19JAN2017	ACC6	9.783	6.603	1.481599273	pointed	absent	absent
19JAN2017	19JAN2017	ACC6	9.406	5.963	1.577393929	pointed	absent	absent
18MAR2019	20MAR2019	ACC5	12.092	8.063	1.499689942	pointed	absent	absent
18MAR2019	20MAR2019	ACC5	11.411	7.453	1.531061318	pointed	absent	absent
18MAR2019	20MAR2019	ACC5	10.28	7.686	1.337496747	pointed	absent	absent
18MAR2019	20MAR2019	ACC5	11.096	7.566	1.46656093	pointed	absent	absent
18MAR2019	20MAR2019	ACC5	11.295	7.888	1.431921907	pointed	absent	absent
26FEB2019	26FEB2019	ACC3	13.155	7.767	1.693704133	pointed	present	absent
26FEB2019	26FEB2019	ACC3	14.373	6.885	2.087581699	pointed	present	absent
26FEB2019	26FEB2019	ACC3	13.222	7.097	1.863040721	pointed	present	absent
26FEB2019	26FEB2019	ACC3	13.866	7.235	1.916516932	pointed	present	absent
26FEB2019	26FEB2019	ACC3	14.181	6.999	2.026146592	pointed	present	absent
20FEB2019	20FEB2019	ACC1	12.134	6.918	1.753975137	pointed	present	absent
20FEB2019	20FEB2019	ACC1	12.261	6.848	1.790449766	pointed	present	absent
20FEB2019	20FEB2019	ACC1	12.299	6.393	1.923822931	pointed	present	absent
20FEB2019	20FEB2019	ACC1	12.964	6.334	2.046731923	pointed	present	absent
20FEB2019	20FEB2019	ACC1	12.541	6.764	1.854080426	pointed	present	absent
15MAR2021	15MAR2021	ACC7	11.902	7.845	1.517144678	pointed	absent	absent
15MAR2021	15MAR2021	ACC7	11.785	7.585	1.553724456	pointed	absent	absent
15MAR2021	15MAR2021	ACC7	11.702	7.53	1.554050465	pointed	absent	absent
15MAR2021	15MAR2021	ACC7	11.869	7.787	1.524207012	pointed	absent	absent
15MAR2021	15MAR2021	ACC7	12.595	7.354	1.712673375	pointed	present	absent
