Pick-up date	Date of analysis	ACC Name	Color	Thickness skin	Consistency	Adherence skin/flesh	Main color flesh
25FEB19	06MAR19	ACC9	medium_purple	1.51	leathery	weak	cream
25FEB19	06MAR19	ACC9	medium_purple	1.18	leathery	weak	cream
25FEB19	06MAR19	ACC9	medium_purple	1.16	leathery	weak	cream
25FEB19	06MAR19	ACC9	medium_purple	0.87	leathery	weak	cream
25FEB19	06MAR19	ACC9	medium_purple	1.28	leathery	weak	cream
18DEC17	22DEC17	ACC4	medium_green	0.66	membranous	intermediate	cream
18DEC17	22DEC17	ACC4	medium_green	0.56	membranous	intermediate	cream
18DEC17	22DEC17	ACC4	medium_green	0.14	membranous	intermediate	cream
18DEC17	22DEC17	ACC4	medium_green	0.52	membranous	intermediate	cream
18DEC17	22DEC17	ACC4	medium_green	0.46	membranous	intermediate	cream
20FEB19	7MAR19	ACC10	medium_purple	1.55	leathery	weak	cream
20FEB19	7MAR19	ACC10	medium_purple	1.96	leathery	weak	cream
20FEB19	7MAR19	ACC10	medium_purple	0.88	leathery	weak	cream
20FEB19	7MAR19	ACC10	medium_purple	1.7	leathery	weak	cream
20FEB19	7MAR19	ACC10	medium_purple	1.51	leathery	weak	cream
18DEC17	28DEC17	ACC2	medium_green	0.64	leathery	weak	cream
18DEC17	28DEC17	ACC2	medium_green	0.28	leathery	weak	cream
18DEC17	28DEC17	ACC2	medium_green	0.69	leathery	weak	cream
18DEC17	28DEC17	ACC2	medium_green	0.72	leathery	weak	cream
18DEC17	28DEC17	ACC2	medium_green	0.48	leathery	weak	cream
19MAR19	27MAR19	ACC8	medium_purple	1.4	leathery	weak	yellow
19MAR19	27MAR19	ACC8	medium_purple	2.13	leathery	weak	cream
19MAR19	27MAR19	ACC8	medium_purple	1.43	leathery	weak	yellow
19MAR19	27MAR19	ACC8	medium_purple	1.44	leathery	weak	yellow
19MAR19	27MAR19	ACC8	medium_purple	1.54	leathery	weak	yellow
19JAN17	3FEB17	ACC6	medium_purple	1.41	leathery	intermediate	cream
19JAN17	3FEB17	ACC6	medium_purple	1.44	leathery	weak	cream
19JAN17	3FEB17	ACC6	medium_purple	1.32	leathery	intermediate	cream
19JAN17	3FEB17	ACC6	medium_purple	1.53	leathery	weak	cream
19JAN17	3FEB17	ACC6	medium_purple	1.81	leathery	weak	cream
15MAR19	25MAR19	ACC5	medium_purple	0.84	leathery	weak	cream
15MAR19	25MAR19	ACC5	medium_purple	0.76	leathery	weak	cream
15MAR19	25MAR19	ACC5	medium_purple	1.15	leathery	weak	cream
15MAR19	25MAR19	ACC5	medium_purple	1.29	leathery	weak	cream
15MAR19	25MAR19	ACC5	medium_purple	1.05	leathery	weak	cream
26FEB19	4MAR19	ACC3	medium_purple	2.23	leathery	weak	cream
26FEB19	4MAR19	ACC3	medium_purple	1.72	leathery	weak	cream
26FEB19	4MAR19	ACC3	medium_purple	1.3	leathery	weak	cream
26FEB19	4MAR19	ACC3	medium_purple	1.52	leathery	weak	cream
26FEB19	4MAR19	ACC3	medium_purple	1.8	leathery	weak	cream
20FEB19	4MAR19	ACC1	black	1.36	corky	intermediate	cream
20FEB19	4MAR19	ACC1	black	0.93	corky	intermediate	cream
20FEB19	4MAR19	ACC1	black	1.93	corky	intermediate	cream
20FEB19	4MAR19	ACC1	black	1.55	corky	intermediate	cream
20FEB19	4MAR19	ACC1	black	1.19	corky	intermediate	cream
22MAR22	31MAR22	ACC7	medium_green	0.93	leathery	weak	yellow
22MAR22	31MAR22	ACC7	medium_green	0.57	leathery	weak	yellow
22MAR22	31MAR22	ACC7	medium_green	0.52	leathery	weak	yellow
22MAR22	31MAR22	ACC7	medium_green	0.74	leathery	weak	yellow
22MAR22	31MAR22	ACC7	medium_green	1.09	leathery	weak	yellow
