Date	ACC Name	Color petal	Length petal (mm)	Width petal (mm)	Ratio length/width petal	Thickness petal	Twisting petal	Curving petal
03JUN2015	ACC3	green	37	11	3.363636364	4.24	weak	medium
03JUN2015	ACC3	green	33	10	3.3	3.88	weak	medium
03JUN2015	ACC3	green	37	11	3.363636364	4.08	weak	weak
03JUN2015	ACC3	green	37	12	3.083333333	5.33	weak	medium
03JUN2015	ACC3	green	38	12	3.166666667	4.48	weak	medium
29MAY2015	ACC14	green	43	13	3.307692308	6.01	weak	medium
29MAY2015	ACC14	green	39	10	3.9	5.13	weak	weak
29MAY2015	ACC14	green	38	10	3.8	6.01	medium	weak
29MAY2015	ACC14	green	37	10	3.7	5.78	medium	weak
29MAY2015	ACC14	green	34	10	3.4	5.34	medium	weak
14JUN2019	ACC13	green	39.22	7.44	5.271505376	3.49	absent	weak
14JUN2019	ACC13	green	47.12	7.46	6.316353887	3.86	absent	weak
14JUN2019	ACC13	green	41.93	7.53	5.568393094	3.96	absent	weak
14JUN2019	ACC13	green	41.2	8.24	5	3.54	medium	weak
14JUN2019	ACC13	green	35.95	8.89	4.043869516	3.79	absent	medium
29MAY2015	ACC4	green	25	7	3.571428571	2.99	medium	weak
29MAY2015	ACC4	green	22	8	2.75	3.5	weak	weak
29MAY2015	ACC4	green	22	7	3.142857143	4.32	medium	weak
29MAY2015	ACC4	green	21	7	3	3.87	weak	weak
29MAY2015	ACC4	green	24	8	3	3.27	weak	weak
16JUL2019	ACC1	green	24.14	9.68	2.493801653	3.87	absent	absent
16JUL2019	ACC1	green	24	8.29	2.895054282	3.53	absent	absent
16JUL2019	ACC1	green	23.89	8.49	2.813898704	3.88	absent	absent
16JUL2019	ACC1	green	25.66	8.77	2.925883694	3.16	absent	absent
16JUL2019	ACC1	green	22.81	7.34	3.107629428	3.56	absent	absent
28JUN2015	ACC6	green	45	9	5	3.04	medium	medium
28JUN2015	ACC6	green	43	9	4.777777778	2.94	medium	medium
28JUN2015	ACC6	green	43	9	4.777777778	3.6	medium	medium
28JUN2015	ACC6	green	45	10	4.5	3.1	medium	medium
28JUN2015	ACC6	green	40	9	4.444444444	2.58	medium	medium
05JUN2020	ACC8	green	27.96	6.78	4.123893805	3.6	weak	weak
05JUN2020	ACC8	green	29.85	7.27	4.105914718	3.57	weak	weak
05JUN2020	ACC8	green	26.96	7.72	3.492227979	3.37	weak	weak
05JUN2020	ACC8	green	29.44	6.96	4.229885057	3.89	weak	weak
05JUN2020	ACC8	green	26.65	7.57	3.520475561	3.21	weak	weak
15JUN2017	ACC9	green	27.26	5.34	5.104868914	2.63	weak	medium
15JUN2017	ACC9	green	31.67	4.32	7.331018519	2.18	weak	medium
15JUN2017	ACC9	green	23.75	3.57	6.652661064	2.02	weak	medium
15JUN2017	ACC9	green	26.24	3.77	6.960212202	2.36	weak	medium
15JUN2017	ACC9	green	27.44	4.1	6.692682927	2.51	weak	medium
10JUN2020	ACC10	green	38.15	10.45	3.650717703	4.22	weak	weak
10JUN2020	ACC10	green	35.3	10.52	3.355513308	4.19	weak	weak
10JUN2020	ACC10	green	37.16	9.55	3.891099476	4.51	weak	weak
10JUN2020	ACC10	green	31.79	9.97	3.188565697	4.1	weak	weak
10JUN2020	ACC10	green	40.3	9.69	4.158926729	4.19	weak	weak
04JUN2020	ACC12	green	30.79	14.6	2.10890411	6.4	weak	weak
04JUN2020	ACC12	green	36.34	11.61	3.130060293	5.13	weak	weak
04JUN2020	ACC12	green	33.71	12.89	2.615205586	5.59	weak	weak
04JUN2020	ACC12	green	35.07	11.21	3.128456735	6.25	weak	weak
