Date of analysis	ACC Name	Blade length (mm)	Blade width (mm)	Ratio length/width	Blade shape	Blade margin
11NOV2015	ACC3	11.5	7	1.642857143	broad_ovate	absent
11NOV2015	ACC3	15	9.5	1.578947368	broad_ovate	absent
11NOV2015	ACC3	15.5	9	1.722222222	broad_ovate	absent
11NOV2015	ACC3	15.5	10	1.55	broad_ovate	absent
11NOV2015	ACC3	15.6	8.3	1.879518072	ovate	absent
15SEP2015	ACC14	17.2	9.5	1.810526316	ovate	absent
15SEP2015	ACC14	17	10.4	1.634615385	ovate	absent
15SEP2015	ACC14	17.2	10	1.72	ovate	absent
15SEP2015	ACC14	16.8	9.7	1.731958763	ovate	absent
15SEP2015	ACC14	16	9.9	1.616161616	broad_ovate	absent
27JUL2020	ACC13	18	12	1.5	broad_ovate	absent
27JUL2020	ACC13	16	10	1.6	ovate	absent
27JUL2020	ACC13	15	10	1.5	ovate	absent
27JUL2020	ACC13	16	10	1.6	ovate	absent
27JUL2020	ACC13	17	10	1.7	ovate	absent
23SEP2015	ACC4	18.2	12.5	1456	ovate	absent
23SEP2015	ACC4	19	11.9	1.596638655	ovate	absent
23SEP2015	ACC4	18.7	12.3	1.520325203	ovate	absent
23SEP2015	ACC4	19.7	14.5	1.35862069	ovate	absent
23SEP2015	ACC4	20.9	13.9	1.503597122	ovate	absent
06JUL2018	ACC1	16.5	10	1.65	ovate	medium
06JUL2018	ACC1	16	10	1.6	ovate	medium
06JUL2018	ACC1	17.5	11	1.590909091	ovate	medium
06JUL2018	ACC1	17.2	11	1.563636364	ovate	medium
06JUL2018	ACC1	17	10.5	1.619047619	ovate	medium
04NOV2015	ACC6	14.2	5.6	2.535714286	narrow_ovate	absent
04NOV2015	ACC6	14	5.5	2.545454545	narrow_ovate	absent
04NOV2015	ACC6	13.2	5.8	2.275862069	narrow_ovate	absent
04NOV2015	ACC6	13.4	6.1	2.196721311	narrow_ovate	absent
04NOV2015	ACC6	13.3	5.4	2.462962963	narrow_ovate	absent
05AUG2021	ACC8	19.7	14.8	1.331081081	broad_ovate	weak
05AUG2021	ACC8	20.2	15.9	1.270440252	broad_ovate	weak
