ACC Name	Date	Length (cm)	Width (cm)	Ratio length/width	Length petiole	Shape
ACC9	23JUN2020	16.7	6.1	2.737704918	3.2	lanceolate
ACC9	23JUN2020	17.1	5.8	2.948275862	3.6	lanceolate
ACC9	23JUN2020	15.2	5.8	2.620689655	2.9	lanceolate
ACC9	23JUN2020	13.8	5.2	2.653846154	2.7	lanceolate
ACC9	23JUN2020	16.6	6.8	2.441176471	4.7	lanceolate
ACC4	17AUG2018	15	6.3	2.380952381	3.9	lanceolate
ACC4	17AUG2018	16.8	6.4	2625	3.7	lanceolate
ACC4	17AUG2018	14.7	6	2.45	3.7	lanceolate
ACC4	17AUG2018	13.5	5.9	2.288135593	3.6	lanceolate
ACC4	17AUG2018	15.4	5.7	2.701754386	3.4	lanceolate
ACC10	26JUL2019	22.5	7.7	2.922077922	6.4	lanceolate
ACC10	26JUL2019	19.5	7.9	2.46835443	5	lanceolate
ACC10	26JUL2019	23.7	9.1	2.604395604	5.4	lanceolate
ACC10	26JUL2019	19.5	6.8	2.867647059	5.5	lanceolate
ACC10	26JUL2019	22.4	8	2.8	5.4	lanceolate
ACC2	15OCT2018	20.3	7.7	2.636363636	5.6	lanceolate
ACC2	15OCT2018	26.1	11.1	2.351351351	7.5	lanceolate
ACC2	15OCT2018	24.2	10.5	2.304761905	3.4	lanceolate
ACC2	15OCT2018	26.6	11.8	2.254237288	7	lanceolate
ACC2	15OCT2018	24.5	9.6	2.552083333	7.3	lanceolate
ACC8	17OCT2019	15.6	5.1	3.058823529	4.5	lanceolate
ACC8	17OCT2019	18.2	6.4	2.84375	6.9	lanceolate
ACC8	17OCT2019	13.1	6.4	2.046875	6.9	obovate
ACC8	17OCT2019	18.5	5.3	3.490566038	5.1	lanceolate
ACC8	17OCT2019	17.9	5.3	3.377358491	5.2	lanceolate
ACC6	15OCT2018	22.8	9	2.533333333	9	lanceolate
ACC6	15OCT2018	20	9.1	2.197802198	8.7	elliptic
ACC6	15OCT2018	15.3	9.1	1.681318681	7.6	ovate
ACC6	15OCT2018	26.1	9.2	2.836956522	6.4	elliptic
ACC6	15OCT2018	17.4	8	2175	7.7	elliptic
ACC5	17OCT2019	14	6.2	2.258064516	3.8	ovate
ACC5	17OCT2019	15.5	5.9	2.627118644	1.9	lanceolate
ACC5	17OCT2019	14	6.6	2.121212121	4.1	ovate
ACC5	17OCT2019	13.6	4.2	3.238095238	1.6	lanceolate
ACC5	17OCT2019	14.6	6.2	2.35483871	3.8	lanceolate
ACC3	24JUN2020	18.2	5.7	3.192982456	5.1	lanceolate
ACC3	24JUN2020	16.2	6.5	2.492307692	4.1	lanceolate
ACC3	24JUN2020	17.2	5.4	3.185185185	4.2	lanceolate
ACC3	24JUN2020	17.2	6.1	2.819672131	3.9	lanceolate
ACC3	24JUN2020	17.5	6.2	2.822580645	5.3	lanceolate
ACC1	17OCT2020	17.1	4.9	3.489795918	4.1	lanceolate
ACC1	17OCT2020	18.4	5.1	3.607843137	4.3	lanceolate
ACC1	17OCT2020	18.2	5.5	3.309090909	4.2	lanceolate
ACC1	17OCT2020	18.4	6.2	2.967741935	5.1	lanceolate
ACC1	17OCT2020	14.3	5.8	2.465517241	3.9	lanceolate
ACC7	26JUL2019	18.8	6.3	2.984126984	3.8	lanceolate
ACC7	26JUL2019	17.1	5.8	2.948275862	4.4	lanceolate
ACC7	26JUL2019	16.3	5.7	2.859649123	2.7	lanceolate
ACC7	26JUL2019	18.5	6.2	2.983870968	5.1	lanceolate
ACC7	26JUL2019	15.4	6.4	2.40625	3.2	lanceolate
