gene1.1	gene1_v2.1
gene2.1	gene2_v2.1;gene3_v2
gene3.1	gene4_v2.1
gene_c1_10000V3.1	gene_s139_2V2.1
gene_c1_1000V3.1	gene_s200_100V2.1;gene_s200_101V2.1
gene_c1_10010V3.1	gene_s139_3V2.1
gene_c1_10040V3.1	gene_s139_5V2.1
gene_c1_10050V3.1	gene_s139_6V2.1
gene_c1_10060V3.1	gene_s139_7V2.1
gene_c1_10080V3.1	gene_s139_9V2.1
gene_c1_10090V3.1	gene_s139_10V2.1
gene_c1_100V3.1	gene_s283_16V2.1
gene_c1_10100V3.1	gene_s139_11V2.1
gene_c1_10120V3.1	gene_s139_13V2.1;gene_s139_14V2.1
gene_c1_10140V3.1	gene_s139_14V2.1
gene_c1_10180V3.1	
gene_c1_10200V3.1	gene_s139_27V2.1
gene_c1_10210V3.1	gene_s139_28V2.1
gene_c1_10220V3.1	gene_s139_29V2.1;gene_s139_30V2.1
gene_c1_10390V3.1	gene_s139_35V2.1
gene_c1_10400V3.1	gene_s139_36V2.1
gene_c1_10430V3.1	gene_s139_37V2.1;gene_s139_38V2.1
gene_c1_10439V3.1	gene_s139_40V2.1
gene_c1_10449V3.1	gene_s139_41V2.1
gene_c1_10450V3.1	gene_s139_41V2.1
gene_c1_10452V3.1	gene_s139_41V2.1
gene_c1_10460V3.1	gene_s139_44V2.1
gene_c1_10470V3.1	
gene_c1_10500V3.1	gene_s139_46V2.1
gene_c1_10530V3.1	gene_s139_48V2.1
gene_c1_10540V3.1	gene_s139_49V2.1;gene_s139_50V2.1
gene_c1_10550V3.1	gene_s139_51V2.1
gene_c1_10570V3.1	gene_s139_51V2.1;gene_s139_52V2.1
gene_c1_10580V3.1	
gene_c1_10590V3.1	gene_s139_55V2.1
gene_c1_10611V3.1	
gene_c1_10620V3.1	gene_s139_64V2.1
gene_c1_10630V3.1	gene_s139_65V2.1
gene_c1_10660V3.1	gene_s139_66V2.1
gene_c1_10680V3.1	gene_s139_70V2.1
gene_c1_10690V3.1	gene_s139_72V2.1
gene_c1_10700V3.1	gene_s139_74V2.1
gene_c1_10710V3.1	
gene_c1_10715V3.1	
gene_c1_10719V3.1	gene_s139_78V2.1
gene_c1_10720V3.1	gene_s139_78V2.1
gene_c1_10740V3.1	gene_s139_80V2.1
gene_c1_10760V3.1	gene_s139_77V2.1
gene_c1_1080V3.1	gene_s200_95V2.1
gene_c1_10810V3.1	gene_s139_84V2.1
gene_c1_10830V3.1	gene_s35_326V2.1
gene_c1_10850V3.1	gene_s35_324V2.1
gene_c1_10860V3.1	gene_s35_323V2.1
gene_c1_10875V3.1	
gene_c1_10880V3.1	gene_s35_319V2.1
gene_c1_10900V3.1	gene_s35_313V2.1
gene_c1_1090V3.1	gene_s200_94V2.1
gene_c1_10910V3.1	gene_s35_312V2.1
gene_c1_10940V3.1	
gene_c1_1095V3.1	gene_s200_94V2.1
gene_c1_10970V3.1	gene_s35_305V2.1
gene_c1_11010V3.1	
gene_c1_11020V3.1	
gene_c1_11030V3.1	gene_s139_88V2.1
gene_c1_11040V3.1	gene_s139_90V2.1;gene_s139_92V2.1
gene_c1_11050V3.1	gene_s139_94V2.1
gene_c1_11070V3.1	gene_s139_95V2.1
gene_c1_11090V3.1	gene_s139_98V2.1
gene_c1_110V3.1	gene_s283_17V2.1
gene_c1_11100V3.1	gene_s139_101V2.1
gene_c1_11130V3.1	
gene_c1_11190V3.1	gene_s139_105V2.1
gene_c1_11210V3.1	
gene_c1_11290V3.1	
gene_c1_11310V3.1	gene_s139_117V2.1
gene_c1_11340V3.1	
gene_c1_11420V3.1	gene_s139_123V2.1
gene_c1_11480V3.1	gene_s139_127V2.1
gene_c1_11500V3.1	gene_s139_131V2.1
gene_c1_11520V3.1	
gene_c1_1160V3.1	gene_s200_89V2.1
gene_c1_11610V3.1	
gene_c1_11630V3.1	gene_s443_18V2.1
gene_c1_11670V3.1	gene_s443_16V2.1
gene_c1_11690V3.1	gene_s443_12V2.1
gene_c1_1170V3.1	gene_s200_88V2.1
gene_c1_11720V3.1	
gene_c1_11740V3.1	gene_s443_9V2.1
gene_c1_11820V3.1	gene_s443_2V2.1
gene_c1_11880V3.1	
gene_c1_11890V3.1	gene_s398_5V2.1
gene_c1_11910V3.1	gene_s398_7V2.1
gene_c1_11980V3.1	gene_s398_10V2.1;gene_s398_11V2.1
gene_c1_11990V3.1	gene_s398_12V2.1
gene_c1_12020V3.1	gene_s398_15V2.1
gene_c1_12040V3.1	gene_s398_16V2.1
gene_c1_12070V3.1	gene_s398_18V2.1
gene_c1_12080V3.1	gene_s398_19V2.1
gene_c1_120V3.1	gene_s283_20V2.1
gene_c1_12100V3.1	gene_s398_21V2.1
gene_c1_12120V3.1	gene_s398_22V2.1
gene_c1_12130V3.1	gene_s398_23V2.1
gene_c1_12140V3.1	gene_s398_23V2.1;gene_s398_24V2.1
gene_c1_12170V3.1	gene_s398_25V2.1
gene_c1_12180V3.1	
gene_c1_12190V3.1	
gene_c1_12220V3.1	
gene_c1_12230V3.1	
gene_c1_12270V3.1	
gene_c1_12280V3.1	
gene_c1_12290V3.1	
gene_c1_12330V3.1	
gene_c1_12340V3.1	
gene_c1_12350V3.1	
gene_c1_12370V3.1	gene_s527_2V2.1;gene_s527_3V2.1
gene_c1_12380V3.1	
gene_c1_1240V3.1	gene_s200_83V2.1
gene_c1_12420V3.1	
gene_c1_12440V3.1	gene_s556_3V2.1
gene_c1_12470V3.1	gene_s556_1V2.1
gene_c1_12560V3.1	gene_s86_237V2.1
gene_c1_12600V3.1	gene_s86_235V2.1
gene_c1_1260V3.1	gene_s200_79V2.1
gene_c1_12610V3.1	gene_s86_233V2.1;gene_s86_234V2.1
gene_c1_12620V3.1	gene_s86_233V2.1
gene_c1_12630V3.1	gene_s86_232V2.1
gene_c1_12640V3.1	
gene_c1_12650V3.1	
gene_c1_12670V3.1	gene_s86_228V2.1
gene_c1_12690V3.1	gene_s86_226V2.1
gene_c1_12700V3.1	gene_s86_224V2.1
gene_c1_12703V3.1	gene_s86_224V2.1
gene_c1_1270V3.1	gene_s200_78V2.1
gene_c1_12710V3.1	gene_s86_223V2.1
gene_c1_12715V3.1	gene_s86_222V2.1
gene_c1_12730V3.1	gene_s86_219V2.1
gene_c1_12740V3.1	gene_s86_218V2.1
gene_c1_12750V3.1	gene_s86_217V2.1
gene_c1_12760V3.1	
gene_c1_12790V3.1	gene_s86_214V2.1
gene_c1_12800V3.1	gene_s86_213V2.1
gene_c1_12810V3.1	gene_s86_212V2.1
gene_c1_12820V3.1	gene_s86_211V2.1
gene_c1_12830V3.1	gene_s86_210V2.1
gene_c1_12850V3.1	gene_s86_207V2.1
gene_c1_12860V3.1	gene_s86_206V2.1
gene_c1_12890V3.1	gene_s86_201V2.1;gene_s86_202V2.1
