Gene	Araport11	Description	InterPro	Description	SwissProt	Description	TrEMBL	Description
gene1.1	AT5G10810.1	enhancer of rudimentary protein	IPR035912;IPR000781	Enhancer of rudimentary superfamily;Enhancer of rudimentary	Q96319	Enhancer of rudimentary homolog	A9NRX8	Enhancer of rudimentary homolog
gene2.1	AT4G31460.1	Ribosomal L28 family	IPR026569;IPR034704	Ribosomal protein L28/L24;L28p-like			A0A3S4PJQ3	Ribosomal protein L28
gene3.1	AT1G35710.1	kinase family with leucine-rich repeat domain-containing protein	IPR011009;IPR000719	Protein kinase-like domain superfamily;Protein kinase domain	Q9LP24	Probable leucine-rich repeat receptor-like protein kinase At1g35710 (EC 2.7.11.1)	A0A443Q3R8	Putative leucine-rich repeat receptor-like protein kinase
gene4.1	AT1G15930.1	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein	IPR029064;IPR004038	50S ribosomal protein L30e-like;Ribosomal protein L7Ae/L30e/S12e/Gadd45	Q9XHS0	40S ribosomal protein S12	A0A2R6PUV5	40S ribosomal protein S12 (Fragment)
gene5.1	AT5G65270.1	RAB GTPase homolog A4A	IPR001806;IPR027417	Small GTPase;P-loop containing nucleoside triphosphate hydrolase	Q40522	Ras-related protein Rab11D	A0A7J6WTQ4	Ras-related protein rab11d
gene6.1	AT5G45700.1	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	IPR036412;IPR004274	HAD-like superfamily;FCP1 homology domain			A0A3S3N1F2	NLI interacting factor
gene7.1	AT4G01970.2	stachyose synthase	IPR008811	Glycosyl hydrolases 36	Q9SYJ4	Probable galactinol--sucrose galactosyltransferase 4 (EC 2.4.1.82) (Raffinose synthase 4)	A0A1D1YTZ1	Stachyose synthase
gene8.1			IPR036875;IPR001878	Zinc finger, CCHC-type superfamily;Zinc finger, CCHC-type	Q94HW2	Retrovirus-related Pol polyprotein from transposon RE1 (Retro element 1) (AtRE1) [Includes: Protease RE1 (EC 3.4.3.-); Reverse transcriptase RE1 (EC 2.7.7.49); Endonuclease RE1]	A0A1Q3BSJ1	Zf-CCHC domain-containing protein/DUF4219 domain-containing protein/UBN2 domain-containing protein
gene9.1	AT1G53050.1	Protein kinase superfamily protein	IPR011009;IPR000719	Protein kinase-like domain superfamily;Protein kinase domain	Q9ZVM9	Probable serine/threonine-protein kinase At1g54610 (EC 2.7.11.1)	A0A6J1ILD0	probable serine/threonine-protein kinase At1g54610
gene10.1	AT3G14130.1	Aldolase-type TIM barrel family protein	IPR037396;IPR000262	FMN hydroxy acid dehydrogenase domain;FMN-dependent dehydrogenase	Q9LJH5	Peroxisomal (S)-2-hydroxyacid oxidase GLO4 (EC 1.1.3.15) (Glycolate oxidase 4) (AtGLO4) (GOX 4) (lHAOX1)	A0A835DB32	(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)
gene11.1	AT3G25855.1	Copper transport protein family	IPR036163	Heavy metal-associated domain superfamily	Q9LZF1	Heavy metal-associated isoprenylated plant protein 6 (AtHIP06) (Cadmium induced protein CdI19)	A0A6J1AZY8	heavy metal-associated isoprenylated plant protein 26
gene12.1	AT5G28540.1	heat shock protein 70 (Hsp 70) family protein	IPR043129;IPR013126	ATPase, nucleotide binding domain;Heat shock protein 70 family	Q6Z7B0	Heat shock 70 kDa protein BIP1 (Luminal-binding protein 1) (OsBiP1)	A0A7J6X735	Heat shock protein
gene13.1	AT2G25790.1	Leucine-rich receptor-like protein kinase family protein			O82318	Leucine-rich repeat receptor-like serine/threonine-protein kinase SKM1 (EC 2.7.11.1) (Protein STERILITY-REGULATING KINASE MEMBER 1)	A0A3S3MRI7	Putative inactive leucine-rich repeat receptor-like protein kinase
gene14.1	AT4G09320.1	nucleoside diphosphate kinase	IPR036850;IPR034907	Nucleoside diphosphate kinase-like domain superfamily;Nucleoside diphosphate kinase-like domain	P39207	Nucleoside diphosphate kinase 1 (EC 2.7.4.6) (Nucleoside diphosphate kinase I) (NDK I) (NDP kinase I) (NDPK I)	A0A2P2LZ72	Nucleoside diphosphate kinase (EC 2.7.4.6)
gene15.1	AT3G60260.4	ELMO/CED-12 family protein	IPR006816	ELMO domain			A0A6P6AZ73	ELMO domain-containing protein A-like
gene16.1	AT2G29420.1	glutathione S-transferase tau 7	IPR004045;IPR036249;IPR036282	Glutathione S-transferase, N-terminal;Thioredoxin-like superfamily;Glutathione S-transferase, C-terminal domain superfamily	P32110	Probable glutathione S-transferase (EC 2.5.1.18) (G2-4) (Heat shock protein 26A)	A0A834ZA90	Glutathione transferase (EC 2.5.1.18)
gene17.1	AT2G19450.1	membrane bound O-acyl transferase (MBOAT) family protein			A0A161IUT7	Diacylglycerol O-acyltransferase 1 (CaDGAT1) (EC 2.3.1.20)	A0A2D2AKQ3	O-acyltransferase
gene18.1	AT4G11660.1	winged-helix DNA-binding transcription factor family protein	IPR000232;IPR036390	Heat shock factor (HSF)-type, DNA-binding;Winged helix DNA-binding domain superfamily	Q6Z9C8	Heat stress transcription factor B-2b (Heat stress transcription factor 2) (rHsf2) (Heat stress transcription factor 21) (OsHsf-21)	A0A1U8BNE1	heat stress transcription factor B-2b-like
gene19.1	AT4G26370.1	antitermination NusB domain-containing protein	IPR006027;IPR035926	NusB/RsmB/TIM44;NusB-like superfamily			D7SLN6	NusB domain-containing protein
gene20.1	AT4G14713.1	TIFY domain/Divergent CCT motif family protein	IPR010399 Tify domain Q7XA73	Protein TIFY 4A (Protein PEAPOD 1)	A0A443NNX8	Protein TIFY 4B-like protein isoform X1
